0,0
0.01,0.0507582
0.02,0.10188
0.03,0.153539
0.04,0.205726
0.05,0.258273
0.06,0.310882
0.07,0.363156
0.08,0.41464
0.09,0.46485
0.1,0.513314
0.11,0.559602
0.12,0.603349
0.13,0.644274
0.14,0.682183
0.15,0.716975
0.16,0.748628
0.17,0.777198
0.18,0.802794
0.19,0.825576
0.2,0.845729
0.21,0.863462
0.22,0.878989
0.23,0.892526
0.24,0.904282
0.25,0.914456
0.26,0.923234
0.27,0.930784
0.28,0.937263
0.29,0.942808
0.3,0.947545
0.31,0.951581
0.32,0.955014
0.33,0.957928
0.34,0.960397
0.35,0.962484
0.36,0.964244
0.37,0.965726
0.38,0.966969
0.39,0.96801
0.4,0.968878
0.41,0.969599
0.42,0.970193
0.43,0.97068
0.44,0.971075
0.45,0.971389
0.46,0.971633
0.47,0.971815
0.48,0.971941
0.49,0.972015
0.5,0.972039
0.51,0.972015
0.52,0.971941
0.53,0.971815
0.54,0.971633
0.55,0.971389
0.56,0.971075
0.57,0.97068
0.58,0.970193
0.59,0.969599
0.6,0.968878
0.61,0.96801
0.62,0.966969
0.63,0.965726
0.64,0.964244
0.65,0.962484
0.66,0.960397
0.67,0.957928
0.68,0.955014
0.69,0.951581
0.7,0.947545
0.71,0.942808
0.72,0.937263
0.73,0.930784
0.74,0.923234
0.75,0.914456
0.76,0.904282
0.77,0.892526
0.78,0.878989
0.79,0.863462
0.8,0.845729
0.81,0.825576
0.82,0.802794
0.83,0.777198
0.84,0.748628
0.85,0.716975
0.86,0.682183
0.87,0.644274
0.88,0.603349
0.89,0.559602
0.9,0.513314
0.91,0.46485
0.92,0.41464
0.93,0.363156
0.94,0.310882
0.95,0.258273
0.96,0.205726
0.97,0.153539
0.98,0.10188
0.99,0.0507582
1,0
