0,0
0.01,0.000352297
0.02,0.00071236
0.03,0.00108804
0.04,0.00148736
0.05,0.00191863
0.06,0.00239054
0.07,0.00291225
0.08,0.00349351
0.09,0.00414476
0.1,0.00487728
0.11,0.00570322
0.12,0.00663584
0.13,0.00768955
0.14,0.00888006
0.15,0.0102246
0.16,0.0117418
0.17,0.0134522
0.18,0.0153781
0.19,0.0175438
0.2,0.0199757
0.21,0.0227021
0.22,0.0257539
0.23,0.0291639
0.24,0.0329672
0.25,0.0372011
0.26,0.0419044
0.27,0.0471179
0.28,0.0528832
0.29,0.0592425
0.3,0.066238
0.31,0.0739107
0.32,0.0822991
0.33,0.0914385
0.34,0.101359
0.35,0.112083
0.36,0.123625
0.37,0.135989
0.38,0.149166
0.39,0.16313
0.4,0.177841
0.41,0.193239
0.42,0.209246
0.43,0.225764
0.44,0.242673
0.45,0.259836
0.46,0.277099
0.47,0.294293
0.48,0.311236
0.49,0.327738
0.5,0.343608
0.51,0.358652
0.52,0.372684
0.53,0.385523
0.54,0.397005
0.55,0.40698
0.56,0.415316
0.57,0.421904
0.58,0.426657
0.59,0.429512
0.6,0.430431
0.61,0.429401
0.62,0.426435
0.63,0.42157
0.64,0.414869
0.65,0.40642
0.66,0.396332
0.67,0.384736
0.68,0.371781
0.69,0.357633
0.7,0.34247
0.71,0.32648
0.72,0.309854
0.73,0.292784
0.74,0.275459
0.75,0.258059
0.76,0.24075
0.77,0.223686
0.78,0.207003
0.79,0.190816
0.8,0.17522
0.81,0.160291
0.82,0.146084
0.83,0.132637
0.84,0.119969
0.85,0.108084
0.86,0.096973
0.87,0.0866154
0.88,0.076981
0.89,0.0680317
0.9,0.0597234
0.91,0.0520075
0.92,0.0448316
0.93,0.0381411
0.94,0.0318793
0.95,0.0259883
0.96,0.0204092
0.97,0.0150823
0.98,0.00994676
0.99,0.00494054
1,0
