0,0
0.01,0.0788731
0.02,0.158721
0.03,0.239589
0.04,0.320703
0.05,0.400719
0.06,0.478011
0.07,0.550954
0.08,0.61817
0.09,0.67869
0.1,0.732015
0.11,0.778088
0.12,0.817212
0.13,0.849942
0.14,0.876973
0.15,0.899058
0.16,0.916938
0.17,0.931301
0.18,0.942763
0.19,0.951858
0.2,0.959037
0.21,0.964677
0.22,0.969086
0.23,0.972516
0.24,0.975171
0.25,0.977213
0.26,0.978773
0.27,0.979954
0.28,0.980839
0.29,0.981492
0.3,0.981966
0.31,0.9823
0.32,0.982527
0.33,0.982673
0.34,0.982756
0.35,0.982793
0.36,0.982796
0.37,0.982775
0.38,0.982737
0.39,0.982688
0.4,0.982633
0.41,0.982575
0.42,0.982518
0.43,0.982464
0.44,0.982414
0.45,0.98237
0.46,0.982333
0.47,0.982303
0.48,0.982282
0.49,0.982269
0.5,0.982264
0.51,0.982269
0.52,0.982282
0.53,0.982303
0.54,0.982333
0.55,0.98237
0.56,0.982414
0.57,0.982464
0.58,0.982518
0.59,0.982575
0.6,0.982633
0.61,0.982688
0.62,0.982737
0.63,0.982775
0.64,0.982796
0.65,0.982793
0.66,0.982756
0.67,0.982673
0.68,0.982527
0.69,0.9823
0.7,0.981966
0.71,0.981492
0.72,0.980839
0.73,0.979954
0.74,0.978773
0.75,0.977213
0.76,0.975171
0.77,0.972516
0.78,0.969086
0.79,0.964677
0.8,0.959037
0.81,0.951858
0.82,0.942763
0.83,0.931301
0.84,0.916938
0.85,0.899058
0.86,0.876973
0.87,0.849942
0.88,0.817212
0.89,0.778088
0.9,0.732015
0.91,0.67869
0.92,0.61817
0.93,0.550954
0.94,0.478011
0.95,0.400719
0.96,0.320703
0.97,0.239589
0.98,0.158721
0.99,0.0788731
1,0
