0,0
0.01,0.00211258
0.02,0.00425259
0.03,0.0064473
0.04,0.00872406
0.05,0.0111105
0.06,0.0136349
0.07,0.0163261
0.08,0.0192138
0.09,0.0223289
0.1,0.0257034
0.11,0.0293701
0.12,0.0333635
0.13,0.0377187
0.14,0.0424722
0.15,0.0476609
0.16,0.0533225
0.17,0.0594945
0.18,0.066214
0.19,0.073517
0.2,0.0814374
0.21,0.0900063
0.22,0.0992508
0.23,0.109193
0.24,0.119847
0.25,0.131221
0.26,0.143313
0.27,0.156108
0.28,0.169582
0.29,0.183694
0.3,0.198391
0.31,0.213602
0.32,0.229245
0.33,0.245216
0.34,0.261403
0.35,0.277677
0.36,0.293898
0.37,0.309917
0.38,0.325578
0.39,0.340723
0.4,0.355193
0.41,0.36883
0.42,0.381484
0.43,0.393013
0.44,0.403286
0.45,0.412187
0.46,0.419612
0.47,0.425478
0.48,0.429716
0.49,0.432279
0.5,0.433136
0.51,0.432279
0.52,0.429716
0.53,0.425478
0.54,0.419612
0.55,0.412187
0.56,0.403286
0.57,0.393013
0.58,0.381484
0.59,0.36883
0.6,0.355193
0.61,0.340723
0.62,0.325578
0.63,0.309917
0.64,0.293898
0.65,0.277677
0.66,0.261403
0.67,0.245216
0.68,0.229245
0.69,0.213602
0.7,0.198391
0.71,0.183694
0.72,0.169582
0.73,0.156108
0.74,0.143313
0.75,0.131221
0.76,0.119847
0.77,0.109193
0.78,0.0992508
0.79,0.0900063
0.8,0.0814374
0.81,0.073517
0.82,0.066214
0.83,0.0594945
0.84,0.0533225
0.85,0.0476609
0.86,0.0424722
0.87,0.0377187
0.88,0.0333635
0.89,0.0293701
0.9,0.0257034
0.91,0.0223289
0.92,0.0192138
0.93,0.0163261
0.94,0.0136349
0.95,0.0111105
0.96,0.00872406
0.97,0.0064473
0.98,0.00425259
0.99,0.00211258
1,0
